ts,src_ip,dst_ip,pred,score,pkt_count,byte_count,duration,mean_pkt_len,std_pkt_len,min_pkt_len,max_pkt_len,mean_iat,std_iat,tcp_flag_syn,tcp_flag_ack,tcp_flag_psh,tcp_flag_rst,tcp_flag_fin,src_port,dst_port,proto_tcp,proto_udp,proto_icmp,dir_outbound
1755171871.1500585,10.7.72.134,172.64.155.209,1,0.51,10.0,9861.0,9.348343133926392,986.1,588.887332178236,55.0,1454.0,1.038704792658488,2.931842718158179,0.0,10.0,3.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755171871.3324406,10.7.72.134,172.64.155.209,1,0.5,20.0,23967.0,9.535811424255371,1198.35,476.3614462779288,55.0,1454.0,0.5018848118029142,2.081427725165773,0.0,20.0,6.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755171872.6044888,10.7.72.134,172.64.155.209,1,0.5,30.0,24542.0,10.812185049057007,818.0666666666667,663.7376958474553,54.0,1454.0,0.3728339672088623,1.6961133622729487,0.0,30.0,7.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755171874.5770006,13.107.253.59,10.7.72.134,1,0.5,10.0,8223.0,0.42667365074157715,822.3,642.1225817552285,56.0,1514.0,0.0474081834157308,0.06342815489842157,1.0,10.0,6.0,0.0,0.0,443.0,51998.0,1.0,0.0,0.0,0.0
1755171875.9531593,10.7.72.134,172.64.155.209,1,0.5,40.0,38147.0,14.132925510406494,953.675,636.5922709042264,54.0,1454.0,0.3623827053950383,1.540240608656893,0.0,40.0,8.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755171877.6999786,10.7.72.134,172.64.155.209,1,0.5,60.0,56894.0,15.8941068649292,948.2333333333333,639.7480589176405,54.0,1454.0,0.269391641778461,1.267215030328754,0.0,60.0,12.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755171884.0442693,10.7.72.134,172.64.155.209,1,0.5,80.0,59862.0,22.251124143600464,748.275,671.1348779306585,54.0,1454.0,0.2816597992860818,1.1026104157834988,0.0,80.0,16.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755171886.4113572,10.7.72.134,172.64.155.209,1,0.51,90.0,60437.0,24.608251810073853,671.5222222222222,668.9658391507128,54.0,1454.0,0.2764972113491444,1.039001773673388,0.0,90.0,17.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755171889.2715547,10.7.72.134,172.64.155.209,1,0.5,100.0,61012.0,27.473286151885986,610.12,660.8380176715018,54.0,1454.0,0.2775079409281413,0.9882276947904146,0.0,100.0,18.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755171891.5798676,10.7.72.134,172.64.155.209,1,0.5,110.0,61587.0,29.774670362472534,559.8818181818182,649.8115353605253,54.0,1454.0,0.2731621134171792,0.9419587265222371,0.0,110.0,19.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755171894.720224,10.7.72.134,172.64.155.209,1,0.51,130.0,71884.0,32.897215366363525,552.9538461538461,646.572654749505,54.0,1454.0,0.255017173382663,0.8682485886139808,0.0,130.0,22.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755171894.8092868,10.7.72.134,172.64.155.209,1,0.5,140.0,84713.0,33.00205874443054,605.0928571428572,659.3733269057021,54.0,1454.0,0.23742488305345713,0.8388503719222021,0.0,140.0,24.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755171895.247389,10.7.72.134,172.64.155.209,1,0.5,150.0,93949.0,33.40892028808594,626.3266666666667,663.6377374910368,54.0,1454.0,0.2242209415307781,0.8118113937625424,0.0,150.0,28.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
